name,redchi2_gr,redchi2_fdb3,improve
CamB,6.421290,0.005549,1157.297670
D512-2,9.190289,0.261819,35.101700
D564-8,31.605342,0.278294,113.568262
D631-7,85.727761,0.430487,199.141170
DDO064,6.380522,0.478842,13.324913
DDO154,6050.683129,64.811000,93.358892
DDO161,304.739250,1.249719,243.846196
DDO168,121.126832,5.718109,21.183024
DDO170,537.893674,14.519293,37.046822
ESO079-G014,17.604069,2.758732,6.381218
ESO116-G012,122.840592,2.139373,57.418971
ESO444-G084,329.597555,2.517975,130.897885
ESO563-G021,38.430857,15.294593,2.512709
F561-1,0.787738,3.150954,0.250000
F563-1,25.918389,2.064213,12.556063
F563-V1,0.215127,0.860507,0.250000
F563-V2,15.106039,1.109764,13.611939
F565-V2,44.931880,0.302489,148.540528
F567-2,1.360215,0.972812,1.398230
F568-1,25.388929,0.788673,32.191963
F568-3,9.076502,1.309949,6.928896
F568-V1,25.877331,2.269625,11.401589
F571-8,143.706029,4.238591,33.904202
F571-V1,30.712930,0.579044,53.040722
F574-1,40.668581,2.080353,19.548890
F574-2,0.123753,0.151409,0.817341
F579-V1,7.288780,2.991802,2.436250
F583-1,29.625776,1.462999,20.250028
F583-4,8.329363,0.161045,51.720654
IC2574,121.052326,3.094628,39.116919
IC4202,32.361882,32.707928,0.989420
KK98-251,12.222398,0.358622,34.081585
NGC0024,37.202556,0.833226,44.648817
NGC0055,32.296082,1.869269,17.277384
NGC0100,12.448237,0.144076,86.400389
NGC0247,66.777678,2.232945,29.905654
NGC0289,48.436239,5.549412,8.728175
NGC0300,70.596722,0.464895,151.855222
NGC0801,57.515674,6.579039,8.742261
NGC0891,80.280662,10.282539,7.807475
NGC1003,331.003399,4.677685,70.762230
NGC1090,56.113069,3.550409,15.804679
NGC1705,53.987765,2.520167,21.422295
NGC2366,52.167400,2.100024,24.841333
NGC2403,1173.012134,49.605627,23.646756
NGC2683,14.160513,2.931557,4.830372
NGC2841,224.471658,3.106750,72.252879
NGC2903,216.028423,33.732952,6.404077
NGC2915,46.621321,2.965468,15.721403
NGC2955,9.904637,4.870650,2.033535
NGC2976,0.805337,0.311090,2.588760
NGC2998,46.338309,4.960723,9.341039
NGC3109,120.004611,0.317892,377.501072
NGC3198,241.807418,11.446924,21.124228
NGC3521,8.421540,0.178916,47.069796
NGC3726,18.412438,2.326776,7.913284
NGC3741,119.140519,0.660475,180.386176
NGC3769,23.666278,6.963353,3.398690
NGC3877,8.247524,10.687050,0.771731
NGC3893,19.234565,3.347674,5.745651
NGC3917,5.670723,2.180886,2.600192
NGC3949,2.682819,0.820799,3.268546
NGC3953,0.788471,1.155651,0.682274
NGC3972,4.831075,1.286537,3.755100
NGC3992,23.667998,1.468443,16.117750
NGC4010,9.523954,2.510283,3.793976
NGC4013,60.086653,0.749197,80.201457
NGC4051,1.612282,3.672599,0.439003
NGC4068,3.397718,0.236952,14.339239
NGC4085,10.919827,4.346405,2.512382
NGC4088,10.992450,0.559772,19.637374
NGC4100,13.852330,2.636747,5.253569
NGC4138,4.638208,2.460747,1.884878
NGC4157,17.719049,0.226386,78.269245
NGC4183,15.607454,0.273155,57.137807
NGC4214,16.895626,1.114909,15.154269
NGC4217,24.678108,1.784362,13.830215
NGC4389,8.462918,0.323471,26.162807
NGC4559,18.240189,0.866643,21.046944
