name,ml_disk,ml_bul
CamB,0.000000,0.700000
D512-2,0.416114,0.700000
D564-8,0.000000,0.700000
D631-7,0.000000,0.700000
DDO064,1.500000,0.700000
DDO154,0.374061,0.700000
DDO161,0.000000,0.700000
DDO168,1.284791,0.700000
DDO170,0.000000,0.700000
ESO079-G014,1.243882,0.700000
ESO116-G012,1.500000,0.700000
ESO444-G084,1.500000,0.700000
ESO563-G021,1.171881,0.700000
F561-1,0.000000,0.700000
F563-1,1.500000,0.700000
F563-V1,0.000000,0.700000
F563-V2,1.500000,0.700000
F565-V2,1.500000,0.700000
F567-2,0.000000,0.700000
F568-1,1.500000,0.700000
F568-3,0.968586,0.700000
F568-V1,1.500000,0.700000
F571-8,0.626343,0.700000
F571-V1,0.452670,0.700000
F574-1,1.500000,0.700000
F574-2,0.000000,0.700000
F579-V1,1.500000,0.700000
F583-1,1.500000,0.700000
F583-4,0.601671,0.700000
IC2574,0.000000,0.700000
IC4202,1.232145,0.490720
KK98-251,0.000000,0.700000
NGC0024,1.500000,0.700000
NGC0055,0.253232,0.700000
NGC0100,0.899192,0.700000
NGC0247,1.301897,0.700000
NGC0289,0.827803,0.700000
NGC0300,1.384939,0.700000
NGC0801,0.600698,0.700000
NGC0891,0.691783,0.218958
NGC1003,0.607300,0.700000
NGC1090,0.727893,0.700000
NGC1705,1.500000,0.700000
NGC2366,0.429772,0.700000
NGC2403,1.018812,0.700000
NGC2683,0.873979,0.000000
NGC2841,1.500000,1.413493
NGC2903,0.761180,0.700000
NGC2915,1.500000,0.700000
NGC2955,0.580603,0.725931
NGC2976,0.825491,0.700000
NGC2998,0.958470,0.700000
NGC3109,1.500000,0.700000
NGC3198,0.864621,0.700000
NGC3521,0.619448,0.700000
NGC3726,0.577919,0.700000
NGC3741,1.396717,0.700000
NGC3769,0.698924,0.700000
NGC3877,0.641954,0.700000
NGC3893,0.770589,0.700000
NGC3917,1.089497,0.700000
NGC3949,0.577742,0.700000
NGC3953,0.753545,0.700000
NGC3972,1.125104,0.700000
NGC3992,1.118327,0.700000
NGC4010,0.857600,0.700000
NGC4013,0.470261,2.000000
NGC4051,0.573949,0.700000
NGC4068,0.261379,0.700000
NGC4085,0.548588,0.700000
NGC4088,0.441777,0.700000
NGC4100,0.982301,0.700000
NGC4138,1.077979,0.000000
NGC4157,0.626771,0.000000
NGC4183,1.041279,0.700000
NGC4214,1.500000,0.700000
NGC4217,1.500000,0.306611
NGC4389,0.214238,0.700000
NGC4559,0.666973,0.700000
NGC5005,0.699170,0.422080
NGC5033,1.500000,0.066495
NGC5055,0.501197,0.700000
NGC5371,0.558562,0.700000
NGC5585,0.719172,0.700000
NGC5907,0.926303,0.700000
NGC5985,1.500000,2.000000
NGC6015,1.032018,0.700000
NGC6195,0.585376,0.697659
NGC6503,0.987833,0.700000
NGC6674,1.240836,1.682960
NGC6789,1.500000,0.700000
NGC6946,0.690188,0.439072
NGC7331,0.654385,0.000000
NGC7793,0.846874,0.700000
NGC7814,1.500000,1.071987
PGC51017,0.000000,0.700000
UGC00128,1.041331,0.700000
UGC00191,1.355739,0.700000
UGC00634,1.500000,0.700000
UGC00731,1.500000,0.700000
UGC00891,0.000000,0.700000
UGC01230,1.500000,0.700000
UGC01281,1.047614,0.700000
UGC02023,0.245773,0.700000
UGC02259,1.500000,0.700000
UGC02455,0.028477,0.700000
UGC02487,1.500000,2.000000
UGC02885,1.109563,0.904051
UGC02916,1.500000,0.548079
UGC02953,1.077941,0.418213
UGC03205,1.170650,0.871369
UGC03546,1.150845,0.167971
UGC03580,0.884518,0.000000
UGC04278,1.392316,0.700000
UGC04305,0.000000,0.700000
UGC04325,1.500000,0.700000
UGC04483,1.500000,0.700000
UGC04499,0.785493,0.700000
UGC05005,0.000000,0.700000
UGC05253,1.246898,0.620680
UGC05414,0.749199,0.700000
UGC05716,1.219495,0.700000
UGC05721,1.500000,0.700000
UGC05750,0.000000,0.700000
UGC05764,1.500000,0.700000
UGC05829,0.103695,0.700000
UGC05918,0.263207,0.700000
UGC05986,1.500000,0.700000
UGC05999,0.445080,0.700000
UGC06399,1.500000,0.700000
UGC06446,1.500000,0.700000
UGC06614,1.060561,0.503988
UGC06628,0.000000,0.700000
UGC06667,1.500000,0.700000
UGC06786,1.500000,0.904969
UGC06787,1.500000,0.895620
UGC06818,0.262063,0.700000
UGC06917,1.306597,0.700000
UGC06923,0.907625,0.700000
UGC06930,1.054106,0.700000
UGC06973,0.423645,0.000000
UGC06983,1.500000,0.700000
UGC07089,0.299539,0.700000
UGC07125,0.000000,0.700000
UGC07151,1.116390,0.700000
UGC07232,1.500000,0.700000
UGC07261,1.217855,0.700000
UGC07323,0.754634,0.700000
UGC07399,1.500000,0.700000
UGC07524,0.803350,0.700000
UGC07559,0.118229,0.700000
UGC07577,0.000000,0.700000
UGC07603,1.500000,0.700000
UGC07608,1.500000,0.700000
UGC07690,1.057635,0.700000
UGC07866,0.560031,0.700000
UGC08286,1.500000,0.700000
UGC08490,1.500000,0.700000
UGC08550,1.500000,0.700000
UGC08699,1.395366,0.474727
UGC08837,0.000000,0.700000
UGC09037,0.416765,0.700000
UGC09133,1.035725,0.477155
UGC09992,0.141558,0.700000
UGC10310,1.111701,0.700000
UGC11455,0.679914,0.700000
UGC11557,0.183631,0.700000
UGC11820,0.137158,0.700000
UGC11914,0.903278,0.887767
UGC12506,1.500000,0.700000
UGC12632,0.664627,0.700000
UGC12732,1.338928,0.700000
UGCA281,1.500000,0.700000
UGCA442,0.823189,0.700000
UGCA444,1.500000,0.700000
