# 自動検出により強い外的要因の可能性が高いもの
IC2574,interacting|cluster/group
NGC1705,AGN/starburst|cluster/group
NGC2841,AGN/starburst|bar/warp/ring
NGC3109,interacting|bar/warp/ring
NGC3877,AGN/starburst
NGC4138,interacting|AGN/starburst
NGC4217,interacting
NGC5371,interacting|AGN/starburst|cluster/group
NGC6503,AGN/starburst
CamB,morph:Irregular
D512-2,morph:Irregular
D564-8,morph:Irregular
D631-7,morph:Irregular
DDO064,morph:Irregular
DDO154,morph:Irregular
DDO161,morph:Irregular
DDO168,morph:Irregular
DDO170,morph:Irregular
ESO444-G084,morph:Irregular
F563-V1,morph:Irregular
F563-V2,morph:Irregular
F565-V2,morph:Irregular
KK98-251,morph:Irregular
NGC2366,morph:Irregular
NGC2915,morph:Irregular
NGC3741,morph:Irregular
NGC4068,morph:Irregular
NGC4214,morph:Irregular
NGC6789,morph:Irregular
PGC51017,morph:Irregular
UGC00731,morph:Irregular
UGC02023,morph:Irregular
UGC02455,morph:Irregular
UGC04305,morph:Irregular
UGC04483,morph:Irregular
UGC05005,morph:Irregular
UGC05414,morph:Irregular
UGC05764,morph:Irregular
UGC05829,morph:Irregular
UGC05918,morph:Irregular
UGC05999,morph:Irregular
UGC06923,morph:Irregular
UGC07232,morph:Irregular
UGC07559,morph:Irregular
UGC07577,morph:Irregular
UGC07608,morph:Irregular
UGC07690,morph:Irregular
UGC07866,morph:Irregular
UGC08837,morph:Irregular
UGC09992,morph:Irregular
UGCA281,morph:Irregular
UGCA444,morph:Irregular
# 手動追加: フィッティング対象外（難例・分析優先）
UGC00128,fit:exclude(manual)
