name,z_l,z_s,theta_Ein,Reff_arcsec,veldisp,veldisp_err,Mein_1e11Msun,gamma
SDSSJ0029+2544,0.5869,2.4504,1.34,0.49,241.0,45.0,nan,nan
SDSSJ0201+3228,0.3957,2.8209,1.7,2.32,256.0,20.0,nan,nan
SDSSJ0237-0641,0.4859,2.2491,0.65,1.05,290.0,89.0,nan,nan
SDSSJ0742+3341,0.4936,2.3633,1.22,0.89,218.0,28.0,nan,nan
SDSSJ0755+3445,0.7224,2.6347,2.05,2.89,272.0,52.0,nan,nan
SDSSJ0856+2010,0.5074,2.2335,0.98,0.51,334.0,54.0,nan,nan
SDSSJ0918+5104,0.5811,2.403,1.6,0.57,298.0,49.0,nan,nan
SDSSJ1110+2808,0.6073,2.3999,0.98,1.45,191.0,39.0,nan,nan
SDSSJ1110+3649,0.733,2.5024,1.16,0.39,531.0,165.0,nan,nan
SDSSJ1116+0915,0.5501,2.4536,1.03,0.98,274.0,55.0,nan,nan
SDSSJ1141+2216,0.5858,2.7624,1.27,0.44,285.0,44.0,nan,nan
SDSSJ1201+4743,0.5628,2.1258,1.18,0.48,239.0,43.0,nan,nan
SDSSJ1226+5457,0.498,2.7322,1.37,0.56,248.0,26.0,nan,nan
SDSSJ2228-1205,0.5305,2.8324,1.28,0.53,255.0,50.0,nan,nan
SDSSJ2342-0120,0.527,2.2649,1.11,1.75,274.0,43.0,nan,nan
SDSSJ0151+0049,0.5171,1.3636,0.68,2.04,219.0,39.0,nan,nan
SDSSJ0747+5055,0.4384,0.8983,0.75,1.27,328.0,60.0,nan,nan
SDSSJ0747+4448,0.4366,0.8966,0.61,2.8,281.0,52.0,nan,nan
SDSSJ0801+4727,0.4831,1.5181,0.49,1.82,98.0,24.0,nan,nan
SDSSJ0830+5116,0.5301,1.3317,1.14,1.14,268.0,36.0,nan,nan
SDSSJ0944-0147,0.539,1.1785,0.73,1.87,204.0,34.0,nan,nan
SDSSJ1159-0007,0.5793,1.3457,0.68,2.22,165.0,41.0,nan,nan
SDSSJ1215+0047,0.6423,1.297,1.37,2.1,262.0,45.0,nan,nan
SDSSJ1221+3806,0.5348,1.2844,0.7,2.0,187.0,48.0,nan,nan
SDSSJ1234-0241,0.49,1.0159,0.53,3.4,122.0,31.0,nan,nan
SDSSJ1318-0104,0.6591,1.3959,0.68,2.45,177.0,27.0,nan,nan
SDSSJ1337+3620,0.5643,1.1821,1.39,1.88,225.0,35.0,nan,nan
SDSSJ1349+3612,0.4396,0.8926,0.75,0.47,178.0,18.0,nan,nan
SDSSJ1352+3216,0.4634,1.0341,1.82,1.85,161.0,21.0,nan,nan
SDSSJ1522+2910,0.5553,1.3108,0.74,1.23,166.0,27.0,nan,nan
SDSSJ1541+1812,0.5603,1.1133,0.64,2.19,174.0,24.0,nan,nan
SDSSJ1542+1629,0.3521,1.0233,1.04,2.51,210.0,16.0,nan,nan
SDSSJ1545+2748,0.5218,1.2886,1.21,3.91,250.0,37.0,nan,nan
SDSSJ1601+2138,0.5435,1.4461,0.86,1.7,207.0,36.0,nan,nan
SDSSJ1611+1705,0.4766,1.2109,0.58,2.64,109.0,23.0,nan,nan
SDSSJ1631+1854,0.4081,1.0863,1.63,0.74,272.0,14.0,nan,nan
SDSSJ1637+1439,0.391,0.8744,0.65,2.17,208.0,30.0,nan,nan
SDSSJ2122+0409,0.6261,1.4517,1.58,2.46,324.0,56.0,nan,nan
SDSSJ2125+0411,0.3632,0.9777,1.2,2.69,247.0,17.0,nan,nan
SDSSJ2303+0037,0.4582,0.9363,1.02,1.15,274.0,31.0,nan,nan
SL2SJ0212-0555,0.75,2.74,1.27,1.22,267.0,17.0,nan,nan
SL2SJ0213-0743,0.717,3.48,2.39,1.97,287.0,33.0,nan,nan
SL2SJ0214-0405,0.609,1.88,1.41,1.21,238.0,15.0,nan,nan
SL2SJ0217-0513,0.646,1.85,1.27,0.73,270.0,21.0,nan,nan
SL2SJ0219-0829,0.389,2.15,1.3,0.95,300.0,23.0,nan,nan
SL2SJ0225-0454,0.238,1.2,1.76,2.12,226.0,20.0,nan,nan
SL2SJ0226-0420,0.494,1.23,1.19,0.84,266.0,24.0,nan,nan
SL2SJ0232-0408,0.352,2.34,1.04,1.41,271.0,20.0,nan,nan
SL2SJ0848-0351,0.682,1.55,0.85,0.45,205.0,21.0,nan,nan
SL2SJ0849-0412,0.722,1.54,1.1,0.46,312.0,18.0,nan,nan
SL2SJ0849-0251,0.274,2.09,1.16,1.34,275.0,34.0,nan,nan
SL2SJ0855-0147,0.365,3.39,1.03,0.69,222.0,19.0,nan,nan
SL2SJ0904-0059,0.611,2.36,1.4,2.0,178.0,20.0,nan,nan
SL2SJ0959+0206,0.552,3.35,0.74,0.46,195.0,22.0,nan,nan
SL2SJ1359+5535,0.783,2.77,1.14,1.13,229.0,19.0,nan,nan
SL2SJ1404+5200,0.456,1.59,2.55,2.03,337.0,19.0,nan,nan
SL2SJ1405+5243,0.526,3.01,1.51,0.83,291.0,21.0,nan,nan
SL2SJ1406+5226,0.716,1.47,0.94,0.8,258.0,14.0,nan,nan
SL2SJ1411+5651,0.322,1.42,0.93,0.85,220.0,23.0,nan,nan
SL2SJ1420+5630,0.483,3.12,1.4,1.62,228.0,19.0,nan,nan
SL2SJ2203+0205,0.4,2.15,1.95,0.99,218.0,21.0,nan,nan
SL2SJ2205+0147,0.476,2.53,1.66,0.66,326.0,30.0,nan,nan
SL2SJ2221+0115,0.325,2.35,1.4,1.12,224.0,23.0,nan,nan
