z_l,z_s,theta_Ein,veldisp,veldisp_err,Reff_arcsec,Reff_kpc
0.44,2.45,0.38,136.1,,,
0.55,2.66,1.03,232.59,,,
0.28,2.48,1.0,206.9,,,
0.56,2.13,0.9,226.79,,,
0.64,2.35,0.33,139.33,,,
0.71,2.18,0.43,167.3,,,
0.49,2.36,1.2,249.24,,,
0.62,2.26,0.9,229.63,,,
0.4,2.82,1.44,258.23,,,
0.53,2.83,1.14,241.72,,,
0.5,2.36,0.8,204.02,,,
0.73,2.5,1.99,353.54,,,
0.59,2.45,0.81,212.65,,,
0.55,2.87,1.42,270.91,,,
0.44,2.5,1.21,242.52,,,
0.54,2.64,1.41,272.55,,,
0.49,2.25,0.0,0.0,,,
0.52,2.34,0.12,80.08,,,
0.47,2.3,0.2,102.04,,,
0.45,2.72,0.52,158.87,,,
0.62,2.61,8.65,697.9,,,
0.7,2.54,0.21,112.39,,,
0.61,2.4,0.66,193.52,,,
0.57,2.83,0.86,213.1,,,
0.55,2.83,2.22,339.91,,,
0.53,2.84,1.43,270.38,,,
0.52,2.27,1.46,279.95,,,
0.58,2.4,1.56,294.41,,,
0.56,2.27,1.67,304.99,,,
0.77,2.74,11.51,850.0,,,
0.51,2.92,0.76,196.01,,,
0.7,2.55,2.44,384.25,,,
0.3,2.71,1.07,215.58,,,
0.54,2.71,0.72,193.6,,,
0.47,2.89,0.76,192.75,,,
0.89,2.7,0.11,89.45,,,
0.63,2.67,0.89,224.06,,,
0.44,2.51,0.4,139.77,,,
0.55,2.89,1.07,235.26,,,
0.55,2.95,0.56,169.93,,,
0.48,2.92,0.78,196.24,,,
0.47,2.27,2.2,336.16,,,
0.66,2.7,2.46,375.63,,,
0.61,2.48,0.84,218.18,,,
0.67,2.95,0.89,224.43,,,
0.51,2.27,1.79,308.25,,,
0.75,2.51,1.49,308.02,,,
0.56,2.14,0.85,219.28,,,
0.72,2.77,1.22,270.16,,,
0.53,2.7,0.73,195.12,,,
0.46,2.56,1.75,293.6,,,
0.78,2.83,1.62,318.15,,,
0.6,2.43,0.58,180.85,,,
0.93,2.79,10.17,850.0,,,
0.68,2.47,1.0,245.18,,,
0.29,2.44,1.0,208.7,,,
0.31,2.95,0.44,137.85,,,
0.55,2.17,0.14,89.48,,,
0.53,2.19,0.74,201.63,,,
0.45,2.89,0.67,179.12,,,
0.49,2.6,0.7,188.82,,,
0.51,2.39,0.68,188.43,,,
0.27,2.18,1.37,244.18,,,
0.46,2.65,1.46,267.65,,,
0.41,2.53,1.08,227.05,,,
0.64,2.65,0.94,231.16,,,
0.47,2.79,1.1,232.28,,,
0.48,2.78,0.98,220.06,,,
0.57,2.31,1.58,297.78,,,
0.73,2.78,1.12,259.18,,,
0.62,2.2,0.71,205.34,,,
0.47,2.17,0.24,110.84,,,
0.47,2.5,0.83,204.29,,,
0.27,2.63,0.4,129.58,,,
0.68,2.17,0.88,237.19,,,
0.52,2.26,1.59,292.28,,,
0.55,2.25,0.36,141.43,,,
0.72,2.64,0.8,220.67,,,
0.69,2.51,1.7,321.08,,,
0.49,2.79,0.63,176.5,,,
0.52,2.88,0.26,115.14,,,
0.45,2.93,1.62,278.33,,,
0.82,2.28,0.35,157.1,,,
0.33,2.44,1.1,222.36,,,
0.59,2.74,0.86,215.17,,,
0.32,2.66,0.94,203.06,,,
0.53,2.76,0.8,203.41,,,
0.51,2.41,2.38,353.33,,,
0.6,2.29,0.87,224.2,,,
0.52,2.43,0.0,0.0,,,
0.56,2.05,2.03,342.12,,,
0.58,2.84,0.7,192.89,,,
0.43,2.51,1.01,221.05,,,
0.11,2.91,0.86,179.29,,,
0.49,2.79,0.59,171.7,,,
0.46,2.94,1.6,277.41,,,
0.5,2.22,1.22,254.41,,,
0.48,2.52,1.5,275.1,,,
0.52,2.18,0.55,173.05,,,
0.62,2.48,0.77,209.83,,,
0.34,2.62,2.86,357.88,,,
0.56,2.52,1.27,261.22,,,
0.34,2.43,1.08,221.15,,,
0.42,2.83,1.23,240.72,,,
0.56,2.29,1.02,238.34,,,
0.58,2.48,1.58,294.85,,,
0.53,2.73,3.59,429.58,,,
0.7,2.81,2.81,406.11,,,
0.37,2.68,0.69,177.53,,,
0.59,2.74,0.17,94.88,,,
0.72,2.88,2.58,389.66,,,
0.52,2.42,0.87,214.24,,,
0.7,2.36,1.71,326.55,,,
0.49,2.8,1.81,299.94,,,
0.53,2.75,1.44,272.5,,,
0.54,2.44,1.0,231.02,,,
0.72,2.55,0.38,153.05,,,
0.24,2.4,0.94,198.8,,,
0.42,2.78,1.64,277.75,,,
0.46,2.47,1.17,241.89,,,
0.2,2.39,1.38,235.81,,,
0.5,2.88,2.14,326.47,,,
0.6,2.38,1.03,242.1,,,
0.58,2.3,0.54,174.89,,,
0.48,2.62,0.98,221.44,,,
0.69,2.46,0.61,193.22,,,
0.58,2.36,0.8,212.48,,,
0.6,2.91,0.76,201.65,,,
0.32,2.56,1.27,236.87,,,
0.6,2.78,0.77,205.45,,,
0.69,2.23,1.03,255.72,,,
