name,z_l,z_s,sigma_kms,theta_E_arcsec,Reff_arcsec,Mein_1e11Msun,slope_gamma
SDSSJ0029+2544,0.5869,2.4504,241,1.34,0.49,4.82,2.03
SDSSJ0201+3228,0.3957,2.8209,256,1.70,2.32,5.21,1.96
SDSSJ0237-0641,0.4859,2.2491,290,0.65,1.05,0.97,2.32
SDSSJ0742+3341,0.4936,2.3633,218,1.22,0.89,3.41,1.98
SDSSJ0755+3445,0.7224,2.6347,272,2.05,2.89,13.52,1.72
SDSSJ0856+2010,0.5074,2.2335,334,0.98,0.51,2.30,2.55
SDSSJ0918+5104,0.5811,2.4030,298,1.60,0.57,6.85,2.14
SDSSJ1110+2808,0.6073,2.3999,191,0.98,1.45,2.69,1.88
SDSSJ1110+3649,0.7330,2.5024,531,1.16,0.39,4.48,2.56
SDSSJ1116+0915,0.5501,2.4536,274,1.03,0.98,2.68,2.23
SDSSJ1141+2216,0.5858,2.7624,285,1.27,0.44,4.18,2.22
SDSSJ1201+4743,0.5628,2.1258,239,1.18,0.48,3.76,2.09
SDSSJ1226+5457,0.4980,2.7322,248,1.37,0.56,4.20,2.06
SDSSJ2228-1205,0.5305,2.8324,255,1.28,0.53,3.85,2.13
SDSSJ2342-0120,0.5270,2.2649,274,1.11,1.75,3.05,2.30
SDSSJ0151+0049,0.5171,1.3636,219,0.68,2.04,1.37,2.47
SDSSJ0747+5055,0.4384,0.8983,328,0.75,1.27,1.83,2.58
SDSSJ0747+4448,0.4366,0.8966,281,0.61,2.80,1.19,2.51
SDSSJ0801+4727,0.4831,1.5181,98,0.49,1.82,0.63,1.54
SDSSJ0830+5116,0.5301,1.3317,268,1.14,1.14,4.10,2.08
SDSSJ0944-0147,0.5390,1.1785,204,0.73,1.87,1.85,2.04
SDSSJ1159-0007,0.5793,1.3457,165,0.68,2.22,1.64,2.37
SDSSJ1215+0047,0.6423,1.2970,262,1.37,2.10,7.95,1.79
SDSSJ1221+3806,0.5348,1.2844,187,0.70,2.00,1.59,2.06
SDSSJ1234-0241,0.4900,1.0159,122,0.53,3.40,0.98,1.90
SDSSJ1318-0104,0.6591,1.3959,177,0.68,2.45,1.91,1.81
SDSSJ1337+3620,0.5643,1.1821,225,1.39,1.88,7.23,1.73
SDSSJ1349+3612,0.4396,0.8926,178,0.75,0.47,1.83,1.53
SDSSJ1352+3216,0.4634,1.0341,161,1.82,1.85,10.33,1.46
SDSSJ1522+2910,0.5553,1.3108,166,0.74,1.23,1.83,1.71
SDSSJ1541+1812,0.5603,1.1133,174,0.64,2.19,1.61,1.82
SDSSJ1542+1629,0.3521,1.0233,210,1.04,2.51,2.32,1.91
SDSSJ1545+2748,0.5218,1.2886,250,1.21,3.91,4.60,1.92
SDSSJ1601+2138,0.5435,1.4461,207,0.86,1.70,2.27,2.12
SDSSJ1611+1705,0.4766,1.2109,109,0.58,2.64,0.97,1.46
SDSSJ1631+1854,0.4081,1.0863,272,1.63,0.74,6.70,1.94
SDSSJ1637+1439,0.3910,0.8744,208,0.65,2.17,1.16,2.19
SDSSJ2122+0409,0.6261,1.4517,324,1.58,2.46,9.28,2.04
SDSSJ2125+0411,0.3632,0.9777,247,1.20,2.69,3.31,2.04
SDSSJ2303+0037,0.4582,0.9363,274,1.02,1.15,3.43,2.21
SL2SJ0212-0555,0.750,2.74,267,1.27,1.22,5.31,2.05
SL2SJ0213-0743,0.717,3.48,287,2.39,1.97,16.77,1.79
SL2SJ0214-0405,0.609,1.88,238,1.41,1.21,6.13,1.85
SL2SJ0217-0513,0.646,1.85,270,1.27,0.73,5.37,2.02
SL2SJ0219-0829,0.389,2.15,300,1.30,0.95,3.15,2.26
SL2SJ0225-0454,0.238,1.20,226,1.76,2.12,3.98,1.78
SL2SJ0226-0420,0.494,1.23,266,1.19,0.84,4.26,2.01
SL2SJ0232-0408,0.352,2.34,271,1.04,1.41,1.80,2.39
SL2SJ0848-0351,0.682,1.55,205,0.85,0.45,2.88,1.85
SL2SJ0849-0412,0.722,1.54,312,1.10,0.46,5.27,2.14
SL2SJ0849-0251,0.274,2.09,275,1.16,1.34,1.80,2.32
SL2SJ0855-0147,0.365,3.39,222,1.03,0.69,1.74,2.15
SL2SJ0904-0059,0.611,2.36,178,1.40,2.00,5.55,1.48
SL2SJ0959+0206,0.552,3.35,195,0.74,0.46,1.29,2.11
SL2SJ1359+5535,0.783,2.77,229,1.14,1.13,4.45,1.86
SL2SJ1404+5200,0.456,1.59,337,2.55,2.03,15.56,1.95
SL2SJ1405+5243,0.526,3.01,291,1.51,0.83,5.25,2.14
SL2SJ1406+5226,0.716,1.47,258,0.94,0.80,3.96,2.00
SL2SJ1411+5651,0.322,1.42,220,0.93,0.85,1.47,2.15
SL2SJ1420+5630,0.483,3.12,228,1.40,1.62,4.16,1.93
SL2SJ2203+0205,0.400,2.15,218,1.95,0.99,7.28,1.77
SL2SJ2205+0147,0.476,2.53,326,1.66,0.66,6.01,2.19
SL2SJ2221+0115,0.325,2.35,224,1.40,1.12,3.03,1.96
