zL,sig*,e_sig*,sigSIE
 ,km/s,km/s,km/s
------,---,--,---
 0.440,   ,  ,271
 0.227,245,19,217
 0.195,299,15,285
 0.120,283,14,269
 0.294,274,21,243
 0.513,   ,  ,269
 0.332,354,24,347
 0.280,179,13,235
 0.351,232,23,252
 0.075,175, 9,177
 0.206,231,12,256
 0.322,358,18,292
 0.220,   ,  ,
 0.241,279,16,271
 0.116,235,11,248
 0.430,   ,  ,293
 0.164,341,17,346
 0.347,413,36,361
 0.190,260,13,243
 0.222,281,22,283
 0.111,211,14,224
 0.241,358,18,318
 0.237,262,20,254
 0.126,215,14,216
 0.168,269,14,253
 0.168,269,14,253
 0.168,269,14,253
 0.282,306,20,304
 0.191,261,16,267
 0.105,228,12,209
 0.133,330,17,250
 0.317,   ,  ,303
 0.158,211,13,217
 0.095,283,14,239
 0.273,348,22,314
 0.153,257,13,242
 0.222,238,24,254
 0.106,279,13,285
 0.106,279,13,285
 0.106,279,13,285
 0.180,248,16,220
 0.164,290,18,254
 0.164,290,18,254
 0.164,290,18,254
 0.164,290,18,254
 0.215,299,15,285
 0.123,308,16,251
 0.135,231,12,254
 0.232,272,15,244
 0.087,260,13,
 0.224,   ,  ,209
 0.233,273,17,
 0.205,283,18,294
 0.189,232,18,225
 0.189,232,18,225
 0.299,261,27,287
 0.063,220,11,204
 0.285,343,34,337
 0.123,205,10,236
 0.285,240,18,256
 0.285,240,18,256
 0.134,231,12,207
 0.125,238,15,222
 0.358,279,28,318
 0.160,297,15,281
 0.160,297,15,281
 0.143,205,13,222
 0.199,   ,  ,
 0.245,253,21,285
 0.208,312,16,274
 0.248,297,17,311
 0.228,250,16,247
 0.090,   ,  ,
 0.090,   ,  ,
 0.138,195,15,
 0.137,211,12,238
 0.228,301,18,301
 0.090,253,13,
 0.155,269,17,290
 0.082,260,13,259
 0.186,218,14,262
 0.186,218,14,262
 0.186,218,14,262
 0.186,218,14,262
