z_l_round,sigma_SIS
0.44,271
0.227,217
0.195,285
0.12,269
0.294,243
0.513,269
0.332,347
0.28,235
0.351,252
0.075,177
0.206,256
0.322,292
0.241,271
0.116,248
0.43,293
0.164,346
0.347,361
0.19,243
0.222,283
0.111,224
0.241,318
0.237,254
0.126,216
0.168,253
0.168,253
0.168,253
0.282,304
0.191,267
0.105,209
0.133,250
0.317,303
0.158,217
0.095,239
0.273,314
0.153,242
0.222,254
0.106,285
0.106,285
0.106,285
0.18,220
0.164,254
0.164,254
0.164,254
0.164,254
0.215,285
0.123,251
0.135,254
0.232,244
0.224,209
0.205,294
0.189,225
0.189,225
0.299,287
0.063,204
0.285,337
0.123,236
0.285,256
0.285,256
0.134,207
0.125,222
0.358,318
0.16,281
0.16,281
0.143,222
0.245,285
0.208,274
0.248,311
0.228,247
0.137,238
0.228,301
0.155,290
0.082,259
0.186,262
0.186,262
0.186,262
0.186,262
