R_kpc,gR2
0.320000,190.515200
0.640000,1199.929600
0.960000,1987.440000
1.280000,4380.480000
1.610000,7620.838400
1.930000,11413.267300
2.240000,15061.760000
2.570000,19407.637700
2.890000,27529.446400
3.210000,32100.000000
3.540000,40529.460000
3.850000,49160.650000
4.170000,57083.130000
4.500000,63724.500000
4.820000,77741.780000
5.150000,89733.600000
5.460000,98039.760000
5.780000,108484.820000
6.100000,119560.000000
6.430000,129654.520000
6.740000,139760.640000
7.060000,150490.960000
8.040000,173736.360000
9.040000,198012.160000
10.040000,231964.160000
11.040000,265236.000000
12.050000,293248.800000
14.050000,346318.450000
16.070000,376182.630000
18.130000,424405.170000
20.050000,475505.800000
22.120000,517807.080000
24.030000,540675.000000
26.100000,579446.100000
28.160000,616816.640000
30.080000,641185.280000
32.140000,694513.260000
34.060000,746050.240000
36.120000,791172.480000
38.190000,847856.190000
40.100000,902250.000000
42.170000,948825.000000
44.080000,978620.080000
